q_soc,q_vrc,r,mae,rmse,bias,nis_mean,nis_median,nis_exceed_3_84,nis_exceed_6_63,n_samples,score
1e-06,3e-06,0.0003,0.0006712032749207229,0.00205445992502511,-0.0002260998530824247,0.00884652510492466,0.0006321647794874335,0.0006743304861601695,0.0,93426,1.1969366326406665
5e-07,3e-06,0.0003,0.0007996245882299403,0.002073836052491943,-0.0002773420375841247,0.010360407886890867,0.001023227180678053,0.0008027743882859161,0.0,93426,1.1974245845564464
1e-06,1e-06,0.0003,0.0006971522851133559,0.0021430786492881923,-0.0002216290391377101,0.009797316250303926,0.0006813297593826573,0.000727848778712564,0.0,93426,1.2048744730678715
1e-09,1e-05,0.0001,0.0018415355722791803,0.002538921695124646,-0.0015491800473379459,0.04838172017781446,0.015498996454236004,0.0,0.0,93426,1.2055104493346502
1e-06,1e-07,0.0001,0.00062003815505912,0.002329618214272192,-0.00012174906395043858,0.028685970422971385,0.0011728428967627182,0.002536767066983495,0.0011559951191317192,93426,1.2067002296568712
1e-06,1e-05,0.001,0.0009283841733166863,0.0021073389411405455,-0.00033459797058762926,0.0034667368131114876,0.00045501139572053334,0.0,0.0,93426,1.207267157300943
5e-07,1e-06,0.0003,0.0008314283364215134,0.0021939782171172604,-0.00027433906168105465,0.011795563800784026,0.0010934157951870817,0.0009312182904116627,0.0,93426,1.2080678670561478
1e-06,1e-07,0.0003,0.0007156795881512004,0.0021972159389541607,-0.00021722683188338178,0.010433647565644289,0.0007151034639071704,0.0008027743882859161,0.0,93426,1.2096893335239147
5e-07,1e-07,0.0001,0.0007084468276564905,0.002458270849904483,-0.00013953945098880318,0.03924513223781037,0.0016773704137762197,0.0032325048701646224,0.001958769507417635,93426,1.210156974695138
1e-08,1e-06,0.0001,0.001882549092598527,0.002775821551797559,-0.0007232088188324653,0.06983877870607978,0.02237454183297946,0.0023012865797529597,0.0014128829233832124,93426,1.2103069026869357
1e-07,3e-05,0.001,0.0015215825564270386,0.002146690207188882,-0.0007629509238435207,0.003937503330056772,0.0013431569720415014,0.0,0.0,93426,1.2107315173888313
1e-07,3e-06,0.0003,0.0013119595804965706,0.002276295023692769,-0.0004768232280478282,0.014941478549147881,0.003547468515624981,0.0008241817053068739,0.0,93426,1.2131001146727824
5e-07,1e-07,0.0003,0.0008546951329369435,0.0022692912952832957,-0.00027009065004511687,0.012776521374686739,0.0011379540107230275,0.0010168475584954938,1.0703658510478882e-05,93426,1.2146717355914012
5e-07,1e-05,0.001,0.00115659254178512,0.0021992837589727985,-0.000424284806786275,0.004065877181781884,0.0007854723904519095,0.0,0.0,93426,1.215862498715498
1e-07,1e-07,0.0001,0.0010686804053326722,0.002776615862105351,-0.0002516987659039946,0.06430466817399282,0.005029366465522827,0.00431357437972299,0.0029542097488921715,93426,1.218467914975296
1e-06,3e-06,0.001,0.0009661189968870594,0.0022487640818799537,-0.0003358435350707689,0.004014511175983176,0.0004890506041422119,0.0,0.0,93426,1.2208618970120122
1e-08,1e-05,0.0003,0.0017988347873028696,0.0024245716282475308,-0.0011658851540993066,0.0167419724116272,0.006032202721254591,0.0,0.0,93426,1.2257151904131258
1e-06,1e-06,0.001,0.0009819649104020128,0.002300042420232513,-0.00033535801426264175,0.004227554034273608,0.0005027372188510513,0.0,0.0,93426,1.2257766879889775
1e-06,1e-07,0.001,0.0009907569608928453,0.002326176808133536,-0.00033483323090391256,0.004339575802548801,0.0005103378526633586,0.0,0.0,93426,1.2282781050108047
1e-09,3e-06,0.0001,0.0023628869788527625,0.0031628898122659727,-0.0018112333468076835,0.08653349317392982,0.033151747837621544,0.00016055487765718324,0.0,93426,1.229835765491496
1e-07,1e-06,0.0003,0.0014048736347664532,0.0025056060200408406,-0.00048402740697358693,0.018520432301106716,0.004047170793939473,0.0011345878021107615,0.0003211097553143665,93426,1.2329285733593471
5e-07,3e-06,0.001,0.0012198292707252178,0.0023889710167588635,-0.0004290615143306593,0.004897139111800799,0.0008705563318849971,0.0,0.0,93426,1.2339999625640856
